id,rated,turns,victory_status,winner,increment_code,white_id,white_rating,black_id,black_rating,opening_name,Number of moves in the opening phase
8jHIBI9W,True,45,mate,white,10+0,riddem_n_rims,1415,yesconnor,1259,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
KavquYUI,False,79,resign,white,10+0,yesconnor,1259,nasa2016,1425,Four Knights Game: Scotch Variation Accepted,8
6tlgY5tg,False,61,resign,white,15+10,parrotz,1953,busy,1703,King's Indian Defense: Six Pawns Attack,8
p6dqztOq,True,87,resign,white,16+8,ehsanms,1302,busy,1724,Van Geet Opening: Napoleon Attack,5
feyFBFFt,True,15,mate,white,60+7,busy,1720,jeanclaudedestroylee,1383,Philidor Defense,5
Dg3GJ0jt,True,49,resign,white,45+0,busy,1716,ashtrak,1309,Philidor Defense,5
8Vn1EnjY,True,14,draw,draw,180+0,gaymanipulation,1224,nepheline148,1148,Scandinavian Defense,2
EnXSpa03,True,62,mate,black,180+0,eranyeager,1178,gaymanipulation,1172,King's Pawn Game: Napoleon Attack,3
6A8Hap4g,True,25,mate,white,180+0,gaymanipulation,1093,nemanade,1195,Center Game,5
wum70My1,True,34,resign,black,180+0,gaymanipulation,1143,tonye,1237,Center Game #2,3
Hq7gjsGx,True,40,mate,black,180+0,greg365,1053,gaymanipulation,1060,French Defense: Classical Variation,6
eeTVhB7q,True,44,resign,black,180+0,gaymanipulation,1151,elias2011,1200,King's Pawn Game: Maroczy Defense,4
PWww5KRm,True,28,resign,black,180+0,gaymanipulation,1291,abdulmajeed21,1320,Queen's Pawn Game #2,3
tpqGqzqK,False,26,resign,white,180+0,maximsopra,1317,gaymanipulation,1291,Nimzowitsch Defense: Kennedy Variation |  Linksspringer Variation,5
pbY9qXcd,False,13,resign,black,180+0,xenceri,1493,gaymanipulation,1291,King's Pawn Game: Leonardis Variation,3
lKImITXx,False,47,mate,white,30+0,simba9,1333,gaymanipulation,1291,Indian Game,2
y1WalwPj,False,119,draw,draw,30+0,gaymanipulation,1291,iolich,1500,Modern Defense,2
EtXr9vNn,False,35,resign,white,30+0,campax,1615,gaymanipulation,1291,Ruy Lopez,5
